title,model,storage
🫶IPhone 16 Plus 128G 🔋100% 有盒,iPhone 16 Plus,128
iphone16 plus 256g 黑,iPhone 16 Plus,256
5星 I15 PRO MAX 512 黑,iPhone 15 Pro Max,512
iPhone 15 128G粉色,iPhone 15,128
iPhone 16 128G,iPhone 16,128
Iphone16 黑色全新未拆,iPhone 16,Unknown
Apple iPhone 16 256G 白色 二手機 接近全新機,iPhone 16,256
全新/IPhone 16 Pro 128G 黑,iPhone 16 Pro,128
iphone14 128g藍色,iPhone 14,128
iPhone 16ProMax 256G 金色✨電池100%🔋,iPhone 16 Pro Max,256
16e 256G 拆封開通未使用22000$,iPhone 16E,256
最新上市全新拆封未開通6.1吋單鏡頭 蘋果Apple iPhone 16e (128G)-白色(全新特價),iPhone 16E,128
Iphone 16 128G 藍色,iPhone 16,128
全新未拆iPhone 16e 256g白色,iPhone 16E,256
售iPhone 14 128 紅 電池91 美版,iPhone 14,128
售 iPhone 16 Pro Max 512G 金色,iPhone 16 Pro Max,512
蘋果 iphone 16Plus 128G 白色 保固中 幾乎全新,iPhone 16 Plus,128
Apple iPhone 16e 128G 屏東市實體店,iPhone 16E,128
IPHONE 16 PRO 128G 沙漠金 只用34次 原價36900 現金價28990 高雄面交,iPhone 16 Pro,128
全新未拆iPhone 16 256GB 白,iPhone 16,256
台中 誠收 iPhone 15 Pro 256g,iPhone 15 Pro,256
我要 買。徵 收。iphone 16e 128/256 。台中面交面交,iPhone 16E,128
全新I phone 16promax 256g 原色,iPhone 16 Pro Max,256
iPhone 15 Pro Max 512g,iPhone 15 Pro Max,512
【二手】誠可議❤️功能正常❤️❤️❤️桃園、台北，台中可以面交❤️❤️❤️❤️128g九成九新iPhone 14 pro 石墨黑 太空黑 黑色 現貨電池78%❤️❤️❤️❤️,iPhone 14 Pro,128
iPhone 16 Pro Max 256GB 白鈦,iPhone 16 Pro Max,256
Iphone16e 128g黑色全新未拆,iPhone 16E,128
全新 iPhone 16e 256G 黑色,iPhone 16E,256
Iphone 16 256G 保固內電池健康100%,iPhone 16,256
(全新未拆)iPhone 16e 128GB 白色/開通後原廠保固一年/高雄可自取,iPhone 16E,128
alto皮革 iPhone 16 pro 6.3 磁吸,iPhone 16 Pro,Unknown
iphone 12 128g 綠 全新電池 顯示健康度100 現金價6990 高雄面交,iPhone 12,128
12 128 白,iPhone 12,128
iPhone 16e 128G,iPhone 16E,128
收！Iphone 16e / iphone 16,Multiple,Unknown
售 iPhone 15 Pro max 256GB 15pro max 黑色,iPhone 15 Pro Max,256
iPhone 15 128,iPhone 15,128
15600漂亮的如新手機一樣 14 Pro 128 從買來到現在還沒有換過任何的東西，包括電池也是目前86歡迎換機 OK 昌平路面交5/1,iPhone 14 Pro,128
拆封機-iPhone 16E 256G 黑,iPhone 16E,256
新竹實體店面📱iphone14Promax 256G 銀色 🉑無卡分期 學生 八大 上班族 軍人 家庭主婦 信用瑕疵 無勞保 快速申辦 當天取機,iPhone 14 Pro Max,256
高雄可面交🍎僅檢查功能100%新 iPhone 16E 128G 白色,iPhone 16E,128
14 Pro 256連電池都是原廠的目前88/想換15 Pro或者16 Pro 單純的賣掉 $16750 台中市面交昌平路北屯路口,iPhone 14 Pro,256
出售 iPhone 15 Pro 256G 原鈦色,iPhone 15 Pro,256
高雄可面交👌全新未拆封/展示100%新 iPhone 15 pro /15 pro max 128/256G,iPhone 15 Pro,128
Iphone16E 256,iPhone 16E,256
新竹實體店面📱iphone16Plus 128G 藍色 🉑無卡分期 學生 八大 上班族 軍人 家庭主婦 信用瑕疵 無勞保 快速申辦 當天取機,iPhone 16 Plus,128
16pro 256g 沙漠色 9.9新.,iPhone 16 Pro,256
iPhone 16e,iPhone 16E,Unknown
新竹實體店面📱全新iphone16E 256G 黑色 🉑無卡分期 學生 八大 上班族 軍人 家庭主婦 信用瑕疵 無勞保 快速申辦 當天取機,iPhone 16E,256
Phone 16 PRO 128G 功能正常 無損傷 全新 未使用 低價出 支持分期,iPhone 16 Pro,128
【艾爾巴二手】iPhone 16 pro max 256g 6.9吋 A3296 沙漠金#二手機#保固中#嘉義0DMQM,iPhone 16 Pro Max,256
便宜賣掉一隻不用的舊手機 iPhone14Promax 金色,iPhone 14 Pro Max,Unknown
iPhone 16 白 原盒 拆封未使用 電池循環0,iPhone 16,Unknown
APPIe iphone 15 Pro 256GB-8GB,iPhone 15 Pro,256
金色 Apple iPhone 16 Pro Max 256G 台灣保固2025.10.18 原廠盒裝.,iPhone 16 Pro Max,256
14PM 512G 白色,iPhone 14 Pro Max,512
16e 256G 電池100% 21000保固2026.04.01循環27次,iPhone 16E,256
IPhone 16e 256G 白 （已售出 僅使用六天 買給長輩 長輩覺得螢幕小,iPhone 16E,256
保固長✨✨二手 iPhone 16e 128G白色 *16136,iPhone 16E,128
iPhone 16 128G 白色 電池97%（有盒）🍎✨,iPhone 16,128
iPhone 16e 256G 全新未拆封,iPhone 16E,256
iPhone 15 128G 黑,iPhone 15,128
15 pro,iPhone 15 Pro,Unknown
👀要搶要快 iPhone 16 128G 白 台中實體店面,iPhone 16,128
iphone14 256g 黑 電池100%,iPhone 14,256
【高雄現貨】iPhone 16 128GB 白 6.1”台灣公司貨 128G i16 A3287,iPhone 16,128
全新未拆iPhone 16 Pro 256G 銀色 （陸版實體雙卡機）可高雄門市店交,iPhone 16 Pro,256
iPhone 16e 256G,iPhone 16E,256
16 256g 100% 保固內🔥高屏可面交的,iPhone 16,256
完美9.9成新 原廠盒裝 iPhone 13 128GB 粉紅色,iPhone 13,128
“僅拆封開通展示” Apple iPhone 16e 256G 6.1吋 白色 原廠保固2026/05月 分期免頭款/高價回收舊機折抵/門號搭配優惠,iPhone 16E,256
iPhone 16e 256g白（已售出,iPhone 16E,256
“僅拆封測試9.8新” iPhone 16e 256G 黑 保固2026/3 分期免頭款/高價回收舊機折抵/門號搭配優惠,iPhone 16E,256
<全新未拆封> i16e 256g,iPhone 16E,256
售全新未拆封iPhone 16 128g 白色 另收你用不到的手機,iPhone 16,128
Iphone 16 Pro 保固2026/05,iPhone 16 Pro,Unknown
【原廠新機未拆封】I PHONE 16E 128G 黑/白,iPhone 16E,128
Iphone16 256g黑色,iPhone 16,256
【高雄青蘋果】Apple iPhone 16e 256G 黑 僅拆封未開通 6.1吋 蘋果手機 #98146,iPhone 16E,256
型號：iPhone 14 pro max 1tb 外觀：有些使用痕跡 電池健康度：85% 版本：18.4.1 #9716,iPhone 14 Pro Max,1024
“僅拆封開通展示9.9新” Apple iPhone 16 128G 黑色 保固2026/02月 分期免頭款/高價回收舊機折抵/門號搭配優惠,iPhone 16,128
全新未拆封iPhone 16 plus,iPhone 16 Plus,Unknown
【高雄現貨】全新拆封未開通 iPhone 16e 128GB 6.1” 128G 黑 台灣公司貨,iPhone 16E,128
售 16e 128 黑 白 全新未拆 原廠保固未啟用,iPhone 16E,128
Apple iPhone 16e (128G) 黑色 白色 全新未拆封 議價勿擾 台南面交,iPhone 16E,128
For sale iphone 16 or swap on your road bike depends on your unit.. preffer tcr giant..,iPhone 16,Unknown
iPhone 16e 256G 白色 全新未拆,iPhone 16E,256
iPhone 16E 128g全新未拆,iPhone 16E,128
iPhone 16 128G 綠,iPhone 16,128
“僅拆封測試未使用” iPhone 16e 128G 黑 保固2026/3月 分期免頭款/高價回收舊機折抵/門號搭配優惠,iPhone 16E,128
IPHONE 12 128G白色,iPhone 12,128
Iphone16,iPhone 16,Unknown
高雄可面交👌僅展示功能100%新 iPhone 16e 128G 白色,iPhone 16E,128
【高雄現貨】3月開通 電池100% iPhone 16 Pro Max 256GB 黑色鈦金屬 6.9” 台灣公司貨 256G,iPhone 16 Pro Max,256
iPhone 16e 256G 白 ⚡️全新未拆封,iPhone 16E,256
Iphone16e 128g 白 全新未拆封,iPhone 16E,128
【原廠新機未拆封】I PHONE 16E 256G 黑/白,iPhone 16E,256
iPhone 12 13 16 16e OPPO Reno13F,iPhone 12,Unknown
iPhone 15 128,iPhone 15,128
16e-128G 黑色*07767（原廠保內）,iPhone 16E,128
出售 IPhone 16 256G 白,iPhone 16,256
高雄可面交❤️完美無傷 iPhone 14 pro/14 pro max 128/256G,iPhone 14 Pro,128
🍨🍵🍨☕️ 售或機換機 iPhone 14 Pro Max 256 紫 $21000 / 收購 回收 iPhone 型號 Xr Xs Pro Mini Max Plus 關鍵字 機種,iPhone 14 Pro Max,256
IPHONE 16 PLUS 256G 白 全新未使用 原廠保固一年 現金價30990 高雄面交,iPhone 16 Plus,256
IPhone 15 128台中面交,iPhone 15,128
【炘馳通訊】iPhone 16 Pro 256G 黑色 二手機 中古機 信用卡分期 舊機折抵 門號折抵,iPhone 16 Pro,256
iPhone 16e 256G 白,iPhone 16E,256
iPhone 15 pro max 白色 256容量 99新,iPhone 15 Pro Max,256
高雄可面交🍎僅展示功能100%新 iPhone 16e 128G 白色,iPhone 16E,128
售iPhone 14 pro max 1tb,iPhone 14 Pro Max,1024
換了15pro 出 iPhone11 64G,iPhone 11,64
☀️🔥⚡️⭐️ 售或機換機 iPhone 15 128 黑 $16000 / 收購 回收 iPhone 型號 Xr Xs Pro Mini Max Plus 關鍵字 機種,iPhone 15,128
二手 iPhone15 Plus 256G 黑色~電池100%~6.7吋....,iPhone 15 Plus,256
iPhone 16 256g,iPhone 16,256
iPhone 16 128Gb,iPhone 16,128
iPhone 16 256GB 藍色,iPhone 16,256
全新未拆封iPhone 16 pro max512GB 黑色,iPhone 16 Pro Max,512
Iphone15,iPhone 15,Unknown
售 iPhone16pro 128g 金色 9.9成新,iPhone 16 Pro,128
Iphone16E 128G全新未拆 桃園自取,iPhone 16E,128
高雄可面交🍎全新未拆封 iPhone 16 128/256G 藍/黑,iPhone 16,128
iPhone16e 128,iPhone 16E,128
Iphone 16e 128g 100% 白 高屏可面,iPhone 16E,128
iPhone 14 Pro Max 256,iPhone 14 Pro Max,256
16 pro max 沙鈦色 公司貨,iPhone 16 Pro Max,Unknown
Iphone13mini,iPhone 13 mini,Unknown
【出售二手】iPhone 14Pro 512G 紫色 電池健康度100%,iPhone 14 Pro,512
找戰損iphone 16,iPhone 16,Unknown
iPhone 15,iPhone 15,Unknown
iPhone 15 pro 128g 白鈦色,iPhone 15 Pro,128
Iphone16e 256g 白(已售出,iPhone 16E,256
史上最低沒人比我便宜 高雄超優惠 限二手機回收優惠價 單買加1500 APPLE IPHONE 13 128G,iPhone 13,128
機況極好iPhone 15 pro max 256原鈦,iPhone 15 Pro Max,256
🏫🏦🏣🏭 售或機換機 iPhone 14 Pro Max 128 黑 $19000 / 收購 回收 iPhone 型號 Xr Xs Pro Mini Max Plus 關鍵字 機種,iPhone 14 Pro Max,128
高雄可面交👌全新未拆 iPhone 15/15 pro/15 pro max 128/256G,iPhone 15,128
高雄可面交🍎僅展示100%新 iPhone 16 pro 128G 白/金/黑,iPhone 16 Pro,128
iPhone 12 128功能正常有原盒,iPhone 12,128
iPhone 16 128G 湛海藍💙可面交優先,iPhone 16,128
iPhone 16 128GB,iPhone 16,128
iPhone 15 plus 256g粉,iPhone 15 Plus,256
IPhone 13,iPhone 13,Unknown
IPhone 13 128粉 🔋83%,iPhone 13,128
iPhone 14 128g 紫色二手,iPhone 14,128
IPhone 13 128G,iPhone 13,128
iPhone 12 Pro,iPhone 12 Pro,Unknown
Iphone13 128粉,iPhone 13,128
iPhone 14 Pro Max 256g 紫,iPhone 14 Pro Max,256
Iphone13 pro 128G 黑,iPhone 13 Pro,128
自售iPhone 16 128G保固中,iPhone 16,128
iPhone 13 Pro 白色 256g,iPhone 13 Pro,256
iphone11 128GB 包膜 <自售>,iPhone 11,128
iPhone 11 128G(二手，完美無傷）,iPhone 11,128
iPhone 14 Pro 128G,iPhone 14 Pro,128
iPhone 16 Pro 256g 黑 100%🔋原廠保固到2026/2/19💥,iPhone 16 Pro,256
iphone 15 pro 256GB 藍色,iPhone 15 Pro,256
iPhone 16 128G 湖水綠 急售 可面交優先😻,iPhone 16,128
iPhone 12 128g 藍色,iPhone 12,128
Iphone16 pro max 256G 沙漠鈦😻,iPhone 16 Pro Max,256
IPhone 12 Pro 128G 太平洋藍色（二手）.,iPhone 12 Pro,128
Iphone 16 Pro 原色鈦金屬 128G 價格可議,iPhone 16 Pro,128
iPhone 14 pro 128GB,iPhone 14 Pro,128
iPhone 14-128電86售12000,iPhone 14,128
售iphone15 pro 1tb,iPhone 15 Pro,1024
iPhone 15 Pro 256GB （原色 Titanium）電池健康度91%,iPhone 15 Pro,256
iPhone 15 Pro 256GB （原色 Titanium）電池健康度92%,iPhone 15 Pro,256
售 IPhone 15 Pro,iPhone 15 Pro,Unknown
IPhone 13 256G,iPhone 13,256
Iphone15 128g 粉色 陸版,iPhone 15,128
[雙北面交] iPhone 16 Pro 128GB（沙漠金）全新未拆封,iPhone 16 Pro,128
iPhone 13 Pro 天峰藍,iPhone 13 Pro,Unknown
IPhone 13pro 128G,iPhone 13 Pro,128
Apple iPhone 12promax 256G,iPhone 12 Pro Max,256
iPhone 15 粉/128g/電池健康度89% 有盒螢幕有刮傷 側邊有傷 七八成新,iPhone 15,128
iPhone 13 Pro,iPhone 13 Pro,Unknown
iPhone 14pro 黑/512g/電池健康度93% 有盒 八九成新,iPhone 14 Pro,512
售iphone15 pro 256G,iPhone 15 Pro,256
"Iphone16pro 256G 保固2026/05 ,15pro 128G保固2025/09",iPhone 16 Pro,256
iPhone 15pro 256G 黑色 電100循環29次 原盒原線,iPhone 15 Pro,256
iPhone 14 Pro 256G (二手）,iPhone 14 Pro,256
iPhone 13 128GB 墨綠色,iPhone 13,128
iPhone 13 128G,iPhone 13,128
售全新未拆封iphone16promax 256g沙漠金 北部面交 全新未拆售41000 意者私可小議,iPhone 16 Pro Max,256
iPhone 15 plus 256g粉,iPhone 15 Plus,256
IPhone 16 pro 256 原鈦色 保固內 機況佳,iPhone 16 Pro,256
自售 Iphone 14PRO MAX 256G灰黑色9.5成新電池健康度88%,iPhone 14 Pro Max,256
售 iPhone 15 pro 256 藍,iPhone 15 Pro,256
iPhone 13 Pro max 256G金色,iPhone 13 Pro Max,256
iPhone 13pro max 黑/256g/電池健康度91% 無盒無傷,iPhone 13 Pro Max,256
Iphone 13 pro 256GB 藍,iPhone 13 Pro,256
iPhone 13pro max黑/128g/電池健康度87% 無盒螢幕有小傷 八成新,iPhone 13 Pro Max,128
IPHONE 14 PROMAX 512G 金 二手 中古 無泡水 無贓機 9.5成新 螢幕刮傷 限店取,iPhone 14 Pro Max,512
iPhone 14 Pro 128g 紫✨功能正常 新北面交,iPhone 14 Pro,128
"iPhone 16 Pro Max｜256GB 沙漠金｜$35,500",iPhone 16 Pro Max,256
iphone 14 pro 1TB 金色,iPhone 14 Pro,1024
💕🎸iPhone 14 Pro Max 1TB 紫色 美版雙卡全機包模，稀有ios16.2可￼越獄手機,iPhone 14 Pro Max,1024
iPhone 16 plus 128GB,iPhone 16 Plus,128
IPHONE 13 128G 黑色 中古 二手 便宜 外觀8.5成新 限店取,iPhone 13,128
IPhone 14Promax-128G,iPhone 14 Pro Max,128
IPhone 13 128G,iPhone 13,128
售iPhone 16e 128g白色 7/1開通未用,iPhone 16E,128
iPhone X 256GB 電池100%,iPhone X,256
Iphone11 128G*2,iPhone 11,128
iphone11 & 128GB +漂亮包膜,iPhone 11,128
$11500，iphone13pro/128G天峰藍，手機完美，無傷，無包裝盒，電池健康度77%。,iPhone 13 Pro,128
IPHONE 11 pro 256G 銀 二手 中古 便宜 外觀8.5成新 副廠電池 限店取,iPhone 11 Pro,256
iPhone 13 Pro Max 128g 藍色✨功能正常 新北面交,iPhone 13 Pro Max,128
iPhone XS 64 無臉部螢幕有裂痕如圖 其餘功能正常 可當備用機 便宜賣,iPhone XS,64
iPhone 12 64G,iPhone 12,64
自售iphone11白色128G狀況良好,iPhone 11,128
Iphone11pro max256g,iPhone 11 Pro Max,256
iPhone XR,iPhone X,Unknown
Iphone11promax256G電76,iPhone 11 Pro Max,256
iPhone 7 128GB 黑色 新北自取,iPhone 7,128
iPhone 16e 白色128g 6.1寸 全新未拆封 有發票證明 售18500,iPhone 16E,128
iPhone 14 Pro 128G,iPhone 14 Pro,128
Iphone 14Pro 256G銀色🍎原廠螢幕,iPhone 14 Pro,256
iPhone 12 Pro 128GB$8000 iPhone 12 Pro 256GB$9000,iPhone 12 Pro,128
IphoneXS MAX 64G 金 🔋87%（雙北面交）,iPhone XS,64
Iphone13 128 黑,iPhone 13,128
Iphone12mini 128GB 紅,iPhone 12 mini,128
Apple iphone16 pro 256g 全新,iPhone 16 Pro,256
iPhone 14 128 🔋83,iPhone 14,128
二手蘋果iPhone 14 pro max 128g 黑,iPhone 14 Pro Max,128
iPhone 11 Pro 64g 綠色 電池100%,iPhone 11 Pro,64
iPhone 14 128,iPhone 14,128
iPhone 16 plus 128G 湛海藍💙自取價格可小議😻,iPhone 16 Plus,128
iPhone 14 Pro 256G,iPhone 14 Pro,256
IPhone 14Promax-128G 紫色 全部都是原廠的,iPhone 14 Pro Max,128
apple iPhone 13 promax 256G,iPhone 13 Pro Max,256
Apple iPhone 13 128G 粉色，,iPhone 13,128
Iphone8 s 64g 電池100%,iPhone 8,64
iPhone 12 128g 藍 電池94% 換過原廠電池,iPhone 12,128
IPHONE 15 128,iPhone 15,128
iPhone 14 pro 256GB,iPhone 14 Pro,256
iPhone 14 pro 128 GB,iPhone 14 Pro,128
Iphone 12 128g 藍色 無傷 單機.,iPhone 12,128
iPhone 15 Pro 256GB 🔋97%,iPhone 15 Pro,256
【出售】 iPhone xs max 256g【容量】 256g,iPhone XS,256
IPHONE 15 promax 256G 白鈦色 外觀無傷 限店取,iPhone 15 Pro Max,256
Iphone 14 pro 128 GB,iPhone 14 Pro,128
iphone 13 128G,iPhone 13,128
iPhone 14 Pro 256g,iPhone 14 Pro,256
IPHONE 13 pro 256 黑 二手 中古 外觀9.5成新 副廠電池 相機入塵 限店取,iPhone 13 Pro,256
二手 iPhone 15 Pro 128GB藍色,iPhone 15 Pro,128
Iphone16 plus 256,iPhone 16 Plus,256
售 iphone13 軍綠色,iPhone 13,Unknown
iPhone 16 128GB,iPhone 16,128
售一台破損IPhone 12pro,iPhone 12 Pro,Unknown
二手iPhone 12 128G 白色 售價：8500 元,iPhone 12,128
Iphone 16promax金色512g 全新 已拆封0%循環,iPhone 16 Pro Max,512
iPhone 15 256g 綠✨功能正常 新北面交,iPhone 15,256
iPhone 13 mini,iPhone 13 mini,Unknown
IPHONE 12 MINI 128G 白色 二手 中古 無泡水 外觀9.5成新 使用痕跡 限店取,iPhone 12 mini,128
iphone xs max 98%🔋256g or 64g,iPhone XS,256
IPHONE 13 128G 黑色 中古 二手 便宜 外觀9成新 限店取,iPhone 13,128
出售 iPhone 8 Plus 256G,iPhone 8 Plus,256
iPhone XR 128GB 白色 (自售),iPhone X,128
Iphone11promax256G(副電79,iPhone 11 Pro Max,256
賣iPhone 14pro 256,iPhone 14 Pro,256
iphone14promax256⚡️83售19000,iPhone 14 Pro Max,256
iphone 13mini128電82副屏售6000,iPhone 13 mini,128
Iphone13-128G電78,iPhone 13,128
Iphone13-128g電87,iPhone 13,128
iphone13 pro max 256功能全正常,iPhone 13 Pro Max,256
iPhone 15 pro 128g黑,iPhone 15 Pro,128
iPhone 12 Pro,iPhone 12 Pro,Unknown
iPhone 13 Pro 128gb,iPhone 13 Pro,128
Iphone12pro128G 金色 二手機 桃園面交,iPhone 12 Pro,128
Iphone 16 pro max 256g 原鈦色9成9新保固到2026年5月28號,iPhone 16 Pro Max,256
iPhone 12Pro 256G 🔋100% 藍✨,iPhone 12 Pro,256
IPHONE 14PRO 128G銀色,iPhone 14 Pro,128
IPHONE 12PRO 128G銀色,iPhone 12 Pro,128
iPhone 13 128g白色 有原盒,iPhone 13,128
iPhone 14plus 128g,iPhone 14 Plus,128
iPhone 15 128G 黑,iPhone 15,128
iPhone 14Pro 256G 黑色 電池83%（有盒）📱✨,iPhone 14 Pro,256
iPhone 12 Pro 金,iPhone 12 Pro,Unknown
iPhone 16 Pro Max 9.9成新 電池循環次數0次,iPhone 16 Pro Max,Unknown
iphone 11 64GB 外觀完好無受損,iPhone 11,64
iPhone 16Pro 256G 🔋100% 金✨,iPhone 16 Pro,256
iphone 14 pro 1TB 金色,iPhone 14 Pro,1024
IPHONE 13 128粉色,iPhone 13,128
iPhone 11 128g 綠色 電池100%,iPhone 11,128
IPHONE 13PRO 128G藍色,iPhone 13 Pro,128
Apple IPhone 11 PRO 64G 二手三鏡頭蘋果手機 (換過螢幕) iphone11 pro,iPhone 11 Pro,64
IPHONE 16 128g 湖水綠,iPhone 16,128
iphone 16 128G 黑色,iPhone 16,128
iPhone 13 mini 256GB 午夜色,iPhone 13 mini,256
iPhone 13 Pro Max 128G,iPhone 13 Pro Max,128
iPhone 13 Pro Max 128G,iPhone 13 Pro Max,128
iPhone 14 Plus 128G,iPhone 14 Plus,128
iPhone 14 Plus 128G,iPhone 14 Plus,128
iPhone 15 Plus 128G,iPhone 15 Plus,128
Apple iPhone 16 Plus 256GB 湛海藍 (外觀漂亮無刮傷、使用次數少、電池健康度100%),iPhone 16 Plus,256
iPhone 16 256g 全新未拆.台X大續約保固,iPhone 16,256
iPhone 13 Pro 256G 女用機 （藍） 誠可議價‼️,iPhone 13 Pro,256
iPhone 16 pro 256g黑,iPhone 16 Pro,256
Iphone13pro 128g原廠電池100,iPhone 13 Pro,128
iphone 15 256g臉部不能用,iPhone 15,256
|自用機出售~交換亦可| iPhone 16e 256G 白色 9.99新 電池100% 19800元,iPhone 16E,256
iPhone 13pro mac128,iPhone 13 Pro,128
Iphone16/128g綠色保固超長～,iPhone 16,128
|自用機出售~交換亦可| iPhone 16e 128G 黑色 電池100% 9.99新 17800元,iPhone 16E,128
Iphone12 pro 128g,iPhone 12 Pro,128
iPhone 14 Pro 128G 黑色 外觀優於九成新,iPhone 14 Pro,128
Apple iPhone 11 Pro Max 256g,iPhone 11 Pro Max,256
iphone 15promax 256g 中古機 二手機 福利機,iPhone 15 Pro Max,256
iPhone 12 Pro 128GB $8000,iPhone 12 Pro,128
iPhone 12 128G,iPhone 12,128
iPhone 11 🔋100%,iPhone 11,Unknown
出售iPhone 16 pro 128G 超長原廠保固,iPhone 16 Pro,128
iPhone 15 pro 128g,iPhone 15 Pro,128
Apple IPhone 13 128G 6.1吋蘋果手機 黑藍色 電池94% IPhone13,iPhone 13,128
Iphone15 128G黑色 無傷 保固內,iPhone 15,128
售Iphone13pro 128g 石墨色,iPhone 13 Pro,128
IPHONE 14PRO 128銀色,iPhone 14 Pro,128
"iphone 14promax 256G 紫93/黑86% 外觀 99新功能正常 , 台中北區實體店面交",iPhone 14 Pro Max,256
拆封品 iPhone 15 Pro Max 白色鈦 256GB 台灣蘋果公司貨 限高雄面交自取,iPhone 15 Pro Max,256
iPhone 12 Pro 太空灰 256G 外觀9成新（更換過副廠螢幕）功能正常 電池健康度100%,iPhone 12 Pro,256
iPhone 13 128g 電池健康度75%,iPhone 13,128
📱 iPhone 14 Pro Max 1TB 紫色 美版雙卡｜稀有可越獄｜只面交～,iPhone 14 Pro Max,1024
售Iphone15ProMax,iPhone 15 Pro Max,Unknown
iPhone 13 Pro Max 256g,iPhone 13 Pro Max,256
Apple iPhone 15 pro 256g 鈦原色 外觀無傷,iPhone 15 Pro,256
IPHONE 13,iPhone 13,Unknown
iPhone 13 128G 星光白,iPhone 13,128
IPhone 14 Pro Max 256G 徵,iPhone 14 Pro Max,256
IPhone 13,iPhone 13,Unknown
iPhone 13 Pro 256G 🔋98%,iPhone 13 Pro,256
iPhone 11Pro 64g 功能都正常,iPhone 11 Pro,64
二手iphone 14 Plus 128G黑色,iPhone 14 Plus,128
Iphone13/128,iPhone 13,128
IPHONE 13PRO 256G金色,iPhone 13 Pro,256
iPhone 13pro i13p 13,Multiple,Unknown
iPhone 12 白色 64G,iPhone 12,64
iPhone 13 256G,iPhone 13,256
IPHONE 15 128GB 藍,iPhone 15,128
iPhone 15 256g 藍色,iPhone 15,256
IPHONE 13 PRO 128G 藍 電池75 現金價11490 高雄面交,iPhone 13 Pro,128
iPhone 12 128g,iPhone 12,128
|自用機出售~交換亦可| iPhone 12 128G 紫色 電池75% 9.99新 未拆修6700元,iPhone 12,128
iPhone 14 Pro,iPhone 14 Pro,Unknown
售 IPHONE 12 白色 64G 美機外觀無傷,iPhone 12,64
💥iPhone 13promax 256g 79%💥高屏🉑面交,iPhone 13 Pro Max,256
iPhone 14 Pro Max iPhone XR,Multiple,Unknown
iPhone 14 Pro 256G 白色,iPhone 14 Pro,256
iPhone X 256g黑,iPhone X,256
IPhone 11 出售,iPhone 11,Unknown
iPhone 12 128g 白色,iPhone 12,128
iPhone 11 ProMax 夜幕綠 512G 外觀9成新（螢幕有些微使用痕跡）功能正常 電池健康度89%,iPhone 11 Pro Max,512
iPhone 11 黑色 64GB 台中可面交,iPhone 11,64
iPhone X 256G,iPhone X,256
iPhone 15Pro 128G 藍色✨電池91%🔋,iPhone 15 Pro,128
Iphone 11 64g 換過副廠電池100 台南,iPhone 11,64
IPHONE 12PRO MAX 256G藍色,iPhone 12 Pro Max,256
極新✨iPhone 16ProMax 256G黑色🖤原廠保固2026/03/26 電池🔋100% 盒配完整,iPhone 16 Pro Max,256
iPhone 13Pro 128G 🔋100%,iPhone 13 Pro,128
13pro max 128g二手蘋果iPhone,iPhone 13 Pro Max,128
iPhone 13 Promax 256g 金色,iPhone 13 Pro Max,256
iphone 11 256g,iPhone 11,256
iphone11 128g 白 無傷,iPhone 11,128
Iphone15pro256,iPhone 15 Pro,256
iphone xr 128GB,iPhone X,128
iPhone 13 Pro 256G 藍 📲🔥,iPhone 13 Pro,256
Iphone13pro max256,iPhone 13 Pro Max,256
賣iPhone 13mini 256g,iPhone 13 mini,256
Iphone12 128,iPhone 12,128
iPhone 12 128g iPhone 12 白色,iPhone 12,128
iPhone 15 128,iPhone 15,128
Iphone11 128,iPhone 11,128
iPhone 16 Pro 256 g,iPhone 16 Pro,256
Iphone 12promax/256黑,iPhone 12 Pro Max,256
[出售] iPhone 14 128G 星光色,iPhone 14,128
IPHONE 14PRO 256G紫色,iPhone 14 Pro,256
iPhone 14ProMax 512G 黑色🍎✨螢幕有小刮傷✨,iPhone 14 Pro Max,512
iPhone 13 Pro,iPhone 13 Pro,Unknown
iPhone 16 Pro max 256 G,iPhone 16 Pro Max,256
iPhone 13 128 G,iPhone 13,128
iPhone 13 mini 256g 議價不回呦,iPhone 13 mini,256
出售 IPhone 16pro 128g 金色,iPhone 16 Pro,128
IPHONE 12PRO MAX 128G藍色,iPhone 12 Pro Max,128
iPhone 15 128 🔋84,iPhone 15,128
iPhone 14ProMax 128G 電池82%🍎✨😻,iPhone 14 Pro Max,128
IPHONE 12 128G白色,iPhone 12,128
iPhone 14 128g 黑色 板橋可以面交,iPhone 14,128
iphone14promax 128G 紫色 機況漂亮 功能正常,iPhone 14 Pro Max,128
IPHONE 13 PRO 256G(藍色）,iPhone 13 Pro,256
【販售】IPhone 8 備用機 128G 螢幕刮傷,iPhone 8,128
iPhone 12 128白 極品機況 無損傷,iPhone 12,128
自售 IPhone 13 Pro,iPhone 13 Pro,Unknown
iPhone 15pro 256,iPhone 15 Pro,256
iPhone 15 pro 128g 藍色,iPhone 15 Pro,128
iphone 13mini128電82副屏售6000,iPhone 13 mini,128
iPhone 16 pro 沙漠金128,iPhone 16 Pro,128
iphone16pro256g原汰,iPhone 16 Pro,256
Apple iPhone 15 128G,iPhone 15,128
iPhone 16 Pro Max 512G白色,iPhone 16 Pro Max,512
拆封品 iPhone 15 Pro Max 白色鈦 256GB 台灣蘋果公司貨 限面交自取,iPhone 15 Pro Max,256
Iphone 13 pro 128 藍,iPhone 13 Pro,128
